algoritmo,energia,,,,tempo
pidigits , 9.722290039062500000, 3.726501464843750000,  ,  ,  1515.87 
pidigits , 8.738098144531250000, 3.387207031250000000,  ,  ,  1455.24 
pidigits , 8.885375976562500000, 3.475341796875000000,  ,  ,  1453.86 
pidigits , 8.651672363281250000, 3.358154296875000000,  ,  ,  1442.47 
pidigits , 8.663696289062500000, 3.362854003906250000,  ,  ,  1440.55 
pidigits , 8.743103027343750000, 3.386962890625000000,  ,  ,  1457.93 
pidigits , 8.579162597656250000, 3.301513671875000000,  ,  ,  1436.48 
pidigits , 8.714294433593750000, 3.369995117187500000,  ,  ,  1457.46 
pidigits , 8.630981445312500000, 3.341979980468750000,  ,  ,  1446.86 
pidigits , 8.629150390625000000, 3.356567382812500000,  ,  ,  1442.39 
spectral-norm , 16.726074218750000000, 10.291992187500000000,  ,  ,  2541.35 
spectral-norm , 16.746154785156250000, 10.318420410156250000,  ,  ,  2526.1 
spectral-norm , 16.759643554687500000, 10.314453125000000000,  ,  ,  2531.36 
spectral-norm , 16.593017578125000000, 10.216247558593750000,  ,  ,  2515.4 
spectral-norm , 16.658447265625000000, 10.254150390625000000,  ,  ,  2520.39 
spectral-norm , 16.682678222656250000, 10.276794433593750000,  ,  ,  2520.77 
spectral-norm , 16.639770507812500000, 10.255249023437500000,  ,  ,  2518.78 
spectral-norm , 16.694152832031250000, 10.292114257812500000,  ,  ,  2520.19 
spectral-norm , 15.778869628906250000, 10.254455566406250000,  ,  ,  2521.66 
spectral-norm , 16.775512695312500000, 10.331481933593750000,  ,  ,  2529.7 
fasta , 3.173217773437500000, 1.639099121093750000,  ,  ,437864
fasta , 1.877319335937500000, 1.033813476562500000,  ,  ,235244
fasta , 1.736511230468750000, 0.954528808593750000,  ,  ,216799
fasta , 1.856811523437500000, 1.021423339843750000,  ,  ,233532
fasta , 1.691040039062500000, 0.934143066406250000,  ,  ,209522
fasta , 1.729736328125000000, 0.951477050781250000,  ,  ,  215.63 
fasta , 2.324462890625000000, 1.242309570312500000,  ,  ,301258
fasta , 1.739501953125000000, 0.951904296875000000,  ,  ,218312
fasta , 1.858642578125000000, 1.033569335937500000,  ,  ,235189
fasta , 1.870910644531250000, 1.028564453125000000,  ,  ,235543
fannkuch-redux , 141.535156250000000000, 81.981872558593750000,  ,  ,  17675.2 
fannkuch-redux , 141.347412109375000000, 81.967041015625000000,  ,  ,  17663.8 
fannkuch-redux , 141.140563964843750000, 81.882019042968750000,  ,  ,  17655.8 
fannkuch-redux , 140.165527343750000000, 81.656066894531250000,  ,  ,  17657.3 
fannkuch-redux , 141.770751953125000000, 81.879211425781250000,  ,  ,  17789.5 
fannkuch-redux , 140.602355957031250000, 81.446472167968750000,  ,  ,  17624.7 
fannkuch-redux , 140.631408691406250000, 81.476501464843750000,  ,  ,  17609.9 
fannkuch-redux , 141.689758300781250000, 82.488769531250000000,  ,  ,  17842.6 
fannkuch-redux , 140.906311035156250000, 81.461791992187500000,  ,  ,  17686.9 
fannkuch-redux , 140.897888183593750000, 82.090576171875000000,  ,  ,17733
n-body , 38.884704589843750000, 20.351440429687500000,  ,  ,  6433.79 
n-body , 38.309631347656250000, 20.517944335937500000,  ,  ,  6461.25 
n-body , 38.143005371093750000, 20.044921875000000000,  ,  ,  6270.17 
n-body , 38.223876953125000000, 20.112487792968750000,  ,  ,  6274.03 
n-body , 38.023315429687500000, 19.901306152343750000,  ,  ,  6274.37 
n-body , 38.004577636718750000, 19.894104003906250000,  ,  ,  6258.88 
n-body , 40.140075683593750000, 21.533386230468750000,  ,  ,  6510.33 
n-body , 39.429931640625000000, 20.705444335937500000,  ,  ,  6336.02 
n-body , 40.400573730468750000, 21.323242187500000000,  ,  ,  6366.22 
n-body , 39.959167480468750000, 21.081054687500000000,  ,  ,  6364.44 
