algoritmo,energia,,,,tempo
pidigits , 0.029296875000000000, 0.002258300781250000,  ,  ,11938
pidigits , 0.005371093750000000, 0.001892089843750000,  ,  ,1156
pidigits , 0.006042480468750000, 0.002319335937500000,  ,  ,964
pidigits , 0.006042480468750000, 0.002380371093750000,  ,  ,933
pidigits , 0.006103515625000000, 0.002380371093750000,  ,  ,995
pidigits , 0.006713867187500000, 0.002868652343750000,  ,  ,978
pidigits , 0.005981445312500000, 0.002319335937500000,  ,  ,959
pidigits , 0.006225585937500000, 0.002441406250000000,  ,  ,955
pidigits , 0.006103515625000000, 0.002502441406250000,  ,  ,1008
pidigits , 0.005920410156250000, 0.002197265625000000,  ,  ,894
spectral-norm , 0.004211425781250000, 0.001037597656250000,  ,  ,1519
spectral-norm , 0.009643554687500000, 0.002563476562500000,  ,  ,1267
spectral-norm , 0.004760742187500000, 0.001342773437500000,  ,  ,1246
spectral-norm , 0.004760742187500000, 0.001342773437500000,  ,  ,1434
spectral-norm , 0.009155273437500000, 0.002441406250000000,  ,  ,1239
spectral-norm , 0.004943847656250000, 0.001342773437500000,  ,  ,1532
spectral-norm , 0.009155273437500000, 0.002319335937500000,  ,  ,1356
spectral-norm , 0.004394531250000000, 0.001037597656250000,  ,  ,1373
spectral-norm , 0.004577636718750000, 0.001159667968750000,  ,  ,1572
spectral-norm , 0.009460449218750000, 0.002380371093750000,  ,  ,1504
fasta , 0.008117675781250000, 0.001831054687500000,  ,  ,1856
fasta , 0.008850097656250000, 0.002136230468750000,  ,  ,1624
fasta , 0.004577636718750000, 0.001098632812500000,  ,  ,1608
fasta , 0.008911132812500000, 0.002075195312500000,  ,  ,1611
fasta , 0.009033203125000000, 0.002197265625000000,  ,  ,1658
fasta , 0.004455566406250000, 0.001037597656250000,  ,  ,1666
fasta , 0.008666992187500000, 0.001831054687500000,  ,  ,1773
fasta , 0.008483886718750000, 0.001831054687500000,  ,  ,1786
fasta , 0.004394531250000000, 0.000915527343750000,  ,  ,1733
fasta , 0.004333496093750000, 0.001953125000000000,  ,  ,1969
fannkuch-redux , 0.008728027343750000, 0.002014160156250000,  ,  ,  1.74 
fannkuch-redux , 0.004699707031250000, 0.001159667968750000,  ,  ,1409
fannkuch-redux , 0.009704589843750000, 0.002502441406250000,  ,  ,1329
fannkuch-redux , 0.004638671875000000, 0.001098632812500000,  ,  ,1428
fannkuch-redux , 0.004638671875000000, 0.001220703125000000,  ,  ,1383
fannkuch-redux , 0.009094238281250000, 0.002319335937500000,  ,  ,1536
fannkuch-redux , 0.004760742187500000, 0.002441406250000000,  ,  ,1523
fannkuch-redux , 0.004821777343750000, 0.001281738281250000,  ,  ,1579
fannkuch-redux , 0.008666992187500000, 0.001892089843750000,  ,  ,1856
fannkuch-redux , 0.008728027343750000, 0.001831054687500000,  ,  ,  1.71 
n-body , 0.009460449218750000, 0.002990722656250000,  ,  ,  1.47 
n-body , 0.005065917968750000, 0.001525878906250000,  ,  ,1487
n-body , 0.009887695312500000, 0.002868652343750000,  ,  ,  1.47 
n-body , 0.004638671875000000, 0.001220703125000000,  ,  ,1397
n-body , 0.004882812500000000, 0.001403808593750000,  ,  ,1267
n-body , 0.009887695312500000, 0.002929687500000000,  ,  ,1357
n-body , 0.004821777343750000, 0.001281738281250000,  ,  ,1352
n-body , 0.004882812500000000, 0.001403808593750000,  ,  ,1378
n-body , 0.010192871093750000, 0.003173828125000000,  ,  ,1845
n-body , 0.009948730468750000, 0.002807617187500000,  ,  ,2045
