algoritmo,energia,,,,tempo
pidigits , 1.014221191406250000, 0.106201171875000000,  ,  ,369658
pidigits , 0.148315429687500000, 0.054077148437500000,  ,  ,27194
pidigits , 0.146545410156250000, 0.052612304687500000,  ,  ,27471
pidigits , 0.152221679687500000, 0.054382324218750000,  ,  ,27489
pidigits , 0.164855957031250000, 0.057006835937500000,  ,  ,30752
pidigits , 0.153625488281250000, 0.055480957031250000,  ,  ,27476
pidigits , 0.145507812500000000, 0.051757812500000000,  ,  ,27662
pidigits , 0.152770996093750000, 0.052551269531250000,  ,  ,29056
pidigits , 0.151306152343750000, 0.055969238281250000,  ,  ,26554
pidigits , 0.148681640625000000, 0.053833007812500000,  ,  ,27288
spectral-norm , 3712.715209960937500000, 2207.568176269531250000,  ,  ,429068
spectral-norm , 3708.837768554687500000, 2207.113952636718750000,  ,  ,428946
spectral-norm , 3723.673461914062500000, 2215.029724121093750000,  ,  ,431554
spectral-norm , 3665.486877441406250000, 2180.642028808593750000,  ,  ,425215
spectral-norm , 3659.453369140625000000, 2173.469421386718750000,  ,  ,425903
spectral-norm , 3611.581054687500000000, 2139.800231933593750000,  ,  ,425201
spectral-norm , 3620.645141601562500000, 2140.873291015625000000,  ,  ,427993
spectral-norm , 3777.954528808593750000, 2257.231933593750000000,  ,  ,425471
spectral-norm , 3840.562011718750000000, 2300.387756347656250000,  ,  ,429157
spectral-norm , 3804.910095214843750000, 2276.947875976562500000,  ,  ,425393
fasta , 85.144592285156250000, 33.697509765625000000,  ,  ,  14306.4 
fasta , 83.252441406250000000, 33.352600097656250000,  ,  ,  13913.6 
fasta , 84.158386230468750000, 33.588867187500000000,  ,  ,  13856.1 
fasta , 84.254577636718750000, 33.799560546875000000,  ,  ,  13850.9 
fasta , 84.045288085937500000, 33.436035156250000000,  ,  ,  13876.8 
fasta , 83.879211425781250000, 33.825134277343750000,  ,  ,13912
fasta , 83.400268554687500000, 33.595092773437500000,  ,  ,  13852.9 
fasta , 83.950012207031250000, 33.488952636718750000,  ,  ,  13843.1 
fasta , 84.884460449218750000, 33.849487304687500000,  ,  ,  13966.9 
fasta , 84.058105468750000000, 33.333312988281250000,  ,  ,  13886.3 
fannkuch-redux , 10365.307861328125000000, 6133.036315917968750000,  ,  ,  1.18008E+06 
fannkuch-redux , 10812.873718261718750000, 6253.990478515625000000,  ,  ,  1.25941E+06 
fannkuch-redux , 10084.172058105468750000, 5925.171936035156250000,  ,  ,  1.19581E+06 
fannkuch-redux , 10283.257507324218750000, 6058.255737304687500000,  ,  ,  1.2022E+06 
fannkuch-redux , 10610.149291992187500000, 6302.034057617187500000,  ,  ,  1.19845E+06 
fannkuch-redux , 10611.133544921875000000, 6300.072326660156250000,  ,  ,  1.19957E+06 
fannkuch-redux , 10474.757995605468750000, 6232.348327636718750000,  ,  ,  1.18215E+06 
fannkuch-redux , 10471.875183105468750000, 6206.680786132812500000,  ,  ,  1.18678E+06 
fannkuch-redux , 10485.904113769531250000, 6232.447265625000000000,  ,  ,  1.18217E+06 
fannkuch-redux , 10483.166320800781250000, 6225.034057617187500000,  ,  ,  1.18288E+06 
n-body , 5565.847412109375000000, 2254.055847167968750000,  ,  ,894832
n-body , 5516.999145507812500000, 2228.993041992187500000,  ,  ,887375
n-body , 5730.184020996093750000, 2366.290161132812500000,  ,  ,900847
n-body , 5512.403076171875000000, 2222.481994628906250000,  ,  ,889306
n-body , 5531.307678222656250000, 2242.561218261718750000,  ,  ,888610
n-body , 5524.781066894531250000, 2232.721008300781250000,  ,  ,888030
n-body , 5486.290222167968750000, 2210.146423339843750000,  ,  ,888926
n-body , 5481.923889160156250000, 2207.923950195312500000,  ,  ,886523
n-body , 5491.205322265625000000, 2217.345764160156250000,  ,  ,889674
n-body , 5486.756530761718750000, 2208.805908203125000000,  ,  ,888635
